order_id,order_date,customer_id,category,product,unit_price,quantity,discount_pct,total_amount,payment_method,status,year,month,month_name,quarter,day_of_week,is_weekend
ORD-000001,2024-01-01,CUST-1270,Electronics,Bluetooth Speaker,58378.18,1,5,55459.27,Credit Card,Delivered,2024,1,January,1,Monday,False
ORD-000002,2024-01-01,CUST-1615,Home & Kitchen,Vacuum Cleaner,15642.07,2,0,31284.14,Net Banking,Delivered,2024,1,January,1,Monday,False
ORD-000003,2024-01-01,CUST-1650,Electronics,Headphones,59702.99,5,0,298514.95,UPI,Cancelled,2024,1,January,1,Monday,False
ORD-000004,2024-01-01,CUST-1325,Clothing,T-Shirt,2864.93,3,0,8594.79,Credit Card,Delivered,2024,1,January,1,Monday,False
ORD-000005,2024-01-01,CUST-1753,Electronics,Laptop,51496.17,5,0,257480.85,Cash on Delivery,Returned,2024,1,January,1,Monday,False
ORD-000006,2024-01-01,CUST-0200,Electronics,Bluetooth Speaker,63512.15,3,0,190536.45,Net Banking,Delivered,2024,1,January,1,Monday,False
ORD-000007,2024-01-01,CUST-1917,Electronics,Tablet,80149.87,4,0,320599.48,Wallet,Delivered,2024,1,January,1,Monday,False
ORD-000008,2024-01-01,CUST-1524,Home & Kitchen,Curtains,4441.47,2,25,6662.2,UPI,Delivered,2024,1,January,1,Monday,False
ORD-000009,2024-01-01,CUST-0864,Books,Children Book,315.72,2,10,568.3,Credit Card,Delivered,2024,1,January,1,Monday,False
ORD-000010,2024-01-01,CUST-0754,Electronics,Laptop,52934.25,2,0,105868.5,Wallet,Delivered,2024,1,January,1,Monday,False
ORD-000011,2024-01-01,CUST-1037,Clothing,T-Shirt,1641.27,3,10,4431.43,Credit Card,Delivered,2024,1,January,1,Monday,False
ORD-000012,2024-01-01,CUST-1390,Home & Kitchen,Cookware Set,8832.42,2,0,17664.84,UPI,Delivered,2024,1,January,1,Monday,False
ORD-000013,2024-01-01,CUST-1743,Clothing,Jacket,2390.95,2,0,4781.9,UPI,Delivered,2024,1,January,1,Monday,False
ORD-000014,2024-01-01,CUST-0774,Home & Kitchen,Lamp,10550.83,2,10,18991.49,UPI,Delivered,2024,1,January,1,Monday,False
ORD-000015,2024-01-01,CUST-0097,Books,Cookbook,1228.75,2,0,2457.5,Credit Card,Delivered,2024,1,January,1,Monday,False
ORD-000016,2024-01-01,CUST-0071,Electronics,USB Cable,6379.19,1,0,6379.19,UPI,Delivered,2024,1,January,1,Monday,False
ORD-000017,2024-01-01,CUST-0993,Clothing,Sweater,734.0,3,0,2202.0,UPI,Delivered,2024,1,January,1,Monday,False
ORD-000018,2024-01-01,CUST-1839,Home & Kitchen,Toaster,10337.5,1,15,8786.88,Credit Card,Delivered,2024,1,January,1,Monday,False
ORD-000019,2024-01-01,CUST-1885,Clothing,T-Shirt,259.56,3,5,739.75,Credit Card,Delivered,2024,1,January,1,Monday,False
